Season,RaceNumber,Driver,Team,FP1,FP2,FP3,Qualifying,SprintShootout,Sprint,Race
2018,7,Kimi Räikkönen,Ferrari,6.0,2.0,3.0,5.0,,,6.0
2018,7,Fernando Alonso,McLaren,7.0,10.0,13.0,14.0,,,18.0
2018,7,Carlos Sainz,Renault,8.0,17.0,14.0,9.0,,,8.0
2018,7,Stoffel Vandoorne,McLaren,9.0,16.0,10.0,15.0,,,16.0
2018,7,Pierre Gasly,Toro Rosso,10.0,18.0,15.0,16.0,,,11.0
2018,7,Esteban Ocon,Force India,11.0,8.0,11.0,8.0,,,9.0
2018,7,Romain Grosjean,Haas F1 Team,12.0,7.0,9.0,20.0,,,12.0
2018,7,Marcus Ericsson,Sauber,13.0,15.0,19.0,19.0,,,15.0
2018,7,Charles Leclerc,Sauber,14.0,11.0,16.0,13.0,,,10.0
2018,7,Kevin Magnussen,Haas F1 Team,15.0,13.0,17.0,11.0,,,13.0
2018,7,Brendon Hartley,Toro Rosso,16.0,12.0,12.0,12.0,,,19.0
2018,7,Sergey Sirotkin,Williams,17.0,20.0,18.0,18.0,,,17.0
2018,7,Lance Stroll,Williams,18.0,19.0,20.0,17.0,,,20.0
2018,7,Nicholas Latifi,Force India,19.0,,,,,,
2018,7,Nico Hulkenberg,Renault,20.0,14.0,8.0,7.0,,,7.0
2018,7,Sergio Perez,Force India,,9.0,7.0,10.0,,,14.0
2018,8,Lewis Hamilton,Mercedes,1.0,1.0,12.0,1.0,,,1.0
2018,8,Valtteri Bottas,Mercedes,2.0,7.0,1.0,2.0,,,7.0
2018,8,Daniel Ricciardo,Red Bull Racing,3.0,2.0,10.0,5.0,,,4.0
2018,8,Kimi Räikkönen,Ferrari,4.0,4.0,13.0,6.0,,,3.0
2018,8,Sebastian Vettel,Ferrari,5.0,5.0,5.0,3.0,,,5.0
2018,8,Romain Grosjean,Haas F1 Team,6.0,6.0,,10.0,,,11.0
2018,8,Max Verstappen,Red Bull Racing,7.0,3.0,17.0,4.0,,,2.0
2018,8,Pierre Gasly,Toro Rosso,8.0,10.0,7.0,14.0,,,20.0
2018,8,Sergio Perez,Force India,9.0,19.0,9.0,13.0,,,18.0
2018,8,Kevin Magnussen,Haas F1 Team,10.0,9.0,,9.0,,,6.0
2018,8,Carlos Sainz,Renault,11.0,12.0,2.0,7.0,,,8.0
2018,8,Esteban Ocon,Force India,12.0,16.0,11.0,11.0,,,19.0
2018,8,Charles Leclerc,Sauber,13.0,14.0,3.0,8.0,,,10.0
2018,8,Marcus Ericsson,Sauber,14.0,,8.0,15.0,,,13.0
2018,8,Brendon Hartley,Toro Rosso,15.0,15.0,,17.0,,,14.0
2018,8,Fernando Alonso,McLaren,16.0,8.0,4.0,16.0,,,16.0
2018,8,Lance Stroll,Williams,17.0,17.0,16.0,20.0,,,17.0
2018,8,Nico Hulkenberg,Renault,18.0,11.0,14.0,12.0,,,9.0
2018,8,Stoffel Vandoorne,McLaren,19.0,13.0,6.0,18.0,,,12.0
2018,8,Sergey Sirotkin,Williams,20.0,18.0,15.0,19.0,,,15.0
2018,9,Lewis Hamilton,Mercedes,1.0,1.0,2.0,2.0,,,16.0
2018,9,Valtteri Bottas,Mercedes,2.0,2.0,3.0,1.0,,,19.0
2018,9,Max Verstappen,Red Bull Racing,3.0,5.0,5.0,5.0,,,1.0
2018,9,Sebastian Vettel,Ferrari,4.0,3.0,1.0,3.0,,,3.0
2018,9,Daniel Ricciardo,Red Bull Racing,5.0,4.0,6.0,7.0,,,18.0
2018,9,Kimi Räikkönen,Ferrari,6.0,6.0,4.0,4.0,,,2.0
2018,9,Romain Grosjean,Haas F1 Team,7.0,7.0,7.0,6.0,,,4.0
2018,9,Esteban Ocon,Force India,8.0,13.0,13.0,11.0,,,6.0
2018,9,Charles Leclerc,Sauber,9.0,12.0,10.0,13.0,,,9.0
2018,9,Pierre Gasly,Toro Rosso,10.0,9.0,12.0,12.0,,,11.0
2018,9,Marcus Ericsson,Sauber,11.0,14.0,16.0,20.0,,,10.0
2018,9,Kevin Magnussen,Haas F1 Team,12.0,8.0,8.0,8.0,,,5.0
2018,9,Carlos Sainz,Renault,13.0,11.0,9.0,9.0,,,12.0
2018,9,Sergio Perez,Force India,14.0,18.0,15.0,17.0,,,7.0
2018,9,Nico Hulkenberg,Renault,15.0,15.0,11.0,10.0,,,20.0
2018,9,Lance Stroll,Williams,16.0,20.0,19.0,15.0,,,14.0
2018,9,Fernando Alonso,McLaren,17.0,19.0,14.0,14.0,,,8.0
2018,9,Stoffel Vandoorne,McLaren,18.0,10.0,18.0,16.0,,,15.0
2018,9,Brendon Hartley,Toro Rosso,19.0,17.0,17.0,19.0,,,17.0
2018,9,Robert Kubica,Williams,20.0,,,,,,
2018,9,Sergey Sirotkin,Williams,,16.0,20.0,18.0,,,13.0
2018,10,Lewis Hamilton,Mercedes,1.0,2.0,1.0,1.0,,,2.0
2018,10,Valtteri Bottas,Mercedes,2.0,3.0,3.0,4.0,,,4.0
2018,10,Sebastian Vettel,Ferrari,3.0,1.0,4.0,2.0,,,1.0
2018,10,Daniel Ricciardo,Red Bull Racing,4.0,5.0,6.0,6.0,,,5.0
2018,10,Kimi Räikkönen,Ferrari,5.0,4.0,2.0,3.0,,,3.0
2018,10,Max Verstappen,Red Bull Racing,6.0,,5.0,5.0,,,15.0
2018,10,Romain Grosjean,Haas F1 Team,7.0,,9.0,8.0,,,16.0
2018,10,Sergio Perez,Force India,8.0,9.0,12.0,12.0,,,10.0
2018,10,Esteban Ocon,Force India,9.0,8.0,11.0,10.0,,,7.0
2018,10,Lance Stroll,Williams,10.0,15.0,16.0,19.0,,,12.0
2018,10,Marcus Ericsson,Sauber,11.0,14.0,10.0,15.0,,,18.0
2018,10,Pierre Gasly,Toro Rosso,12.0,13.0,19.0,14.0,,,13.0
2018,10,Charles Leclerc,Sauber,13.0,10.0,7.0,9.0,,,19.0
2018,10,Kevin Magnussen,Haas F1 Team,14.0,12.0,8.0,7.0,,,9.0
2018,10,Fernando Alonso,McLaren,15.0,6.0,13.0,13.0,,,8.0
2018,10,Carlos Sainz,Renault,16.0,11.0,15.0,16.0,,,17.0
2018,10,Stoffel Vandoorne,McLaren,17.0,17.0,18.0,17.0,,,11.0
2018,10,Nico Hulkenberg,Renault,18.0,7.0,14.0,11.0,,,6.0
2018,10,Brendon Hartley,Toro Rosso,19.0,18.0,,20.0,,,20.0
2018,10,Sergey Sirotkin,Williams,20.0,16.0,17.0,18.0,,,14.0
2018,11,Daniel Ricciardo,Red Bull Racing,1.0,13.0,,15.0,,,20.0
2018,11,Lewis Hamilton,Mercedes,2.0,2.0,11.0,14.0,,,1.0
2018,11,Max Verstappen,Red Bull Racing,3.0,1.0,,4.0,,,4.0
2018,11,Sebastian Vettel,Ferrari,4.0,4.0,4.0,1.0,,,18.0
2018,11,Valtteri Bottas,Mercedes,5.0,3.0,12.0,2.0,,,2.0
2018,11,Kimi Räikkönen,Ferrari,6.0,5.0,8.0,3.0,,,3.0
2018,11,Romain Grosjean,Haas F1 Team,7.0,6.0,13.0,6.0,,,6.0
2018,11,Kevin Magnussen,Haas F1 Team,8.0,7.0,15.0,5.0,,,11.0
2018,11,Charles Leclerc,Sauber,9.0,8.0,1.0,9.0,,,15.0
2018,11,Nico Hulkenberg,Renault,10.0,9.0,7.0,7.0,,,5.0
2018,11,Sergio Perez,Force India,11.0,11.0,,10.0,,,7.0
