w_rf,w_xgb,w_mlp,median_rho,mean_rho,rho_gt_05,mae,r2
0.4,0.2,0.4,0.7578947368421052,0.7100751879699245,30,3.0685714285714285,0.4201503759398496
0.4,0.25,0.35,0.7609022556390977,0.7097314715359828,31,3.065714285714286,0.41946294307196563
0.4,0.3,0.3,0.7533834586466165,0.709860365198711,31,3.06,0.4197207303974221
0.4,0.35,0.25,0.7473684210526315,0.7093877551020408,31,3.065714285714286,0.41877551020408166
0.4,0.4,0.2,0.7473684210526315,0.7088721804511278,31,3.0685714285714285,0.41774436090225564
0.4,0.45,0.15,0.7473684210526315,0.7058216970998926,31,3.1,0.41164339419978513
0.4,0.5,0.1,0.7473684210526315,0.7057357679914068,31,3.1,0.41147153598281416
0.4,0.55,0.05,0.7428571428571428,0.7047475832438238,31,3.117142857142857,0.4094951664876477
0.45,0.05,0.5,0.7593984962406014,0.7096025778732546,30,3.0885714285714285,0.4192051557465092
0.45,0.1,0.45,0.7669172932330827,0.711063372717508,30,3.0742857142857143,0.42212674543501616
0.45,0.15,0.4,0.7578947368421052,0.7093447905477979,30,3.08,0.4186895810955962
0.45,0.2,0.35,0.7609022556390977,0.7092588614393125,31,3.0714285714285716,0.4185177228786251
0.45,0.25,0.3,0.7593984962406014,0.7099462943071965,31,3.0628571428571427,0.41989258861439316
0.45,0.3,0.25,0.7518796992481201,0.7097314715359828,31,3.065714285714286,0.41946294307196563
0.45,0.35,0.2,0.7473684210526315,0.7080988184747583,31,3.08,0.4161976369495166
0.45,0.4,0.15,0.7473684210526315,0.7069387755102041,31,3.1,0.41387755102040813
0.45,0.45,0.1,0.7473684210526315,0.7059076262083779,31,3.111428571428571,0.4118152524167562
0.45,0.5,0.05,0.7473684210526315,0.7053061224489795,31,3.12,0.4106122448979592
0.5,0.05,0.45,0.7669172932330827,0.7102900107411385,30,3.0828571428571427,0.42058002148227713
0.5,0.1,0.4,0.7624060150375939,0.7092158968850697,30,3.085714285714286,0.4184317937701396
0.5,0.15,0.35,0.7609022556390977,0.7094307196562836,31,3.0828571428571427,0.41886143931256714
0.5,0.2,0.3,0.7593984962406014,0.7085714285714286,31,3.077142857142857,0.41714285714285715
