w_rf,w_xgb,w_mlp,median_rho,mean_rho,rho_gt_05,mae,r2
0.1,0.45,0.45,0.882706766917293,0.839313471432003,33,2.3696857670979665,0.5928757162740848
0.1,0.5,0.4,0.882706766917293,0.8355982186765026,33,2.3715341959334566,0.5910351905791212
0.1,0.55,0.35,0.8781954887218045,0.8343571068471556,33,2.3733826247689462,0.5903726013289344
0.1,0.6,0.3,0.8807017543859648,0.8344816778385995,33,2.3696857670979665,0.5912560536625169
0.1,0.65,0.25,0.8766917293233082,0.8328272022831952,33,2.377079482439926,0.5868387919946045
0.1,0.7,0.2,0.8766917293233082,0.8290287598292905,32,2.378927911275416,0.5854399924664324
0.1,0.75,0.15,0.8766917293233082,0.8289351434353646,32,2.3826247689463957,0.5832313616324762
0.1,0.8,0.1,0.8766917293233082,0.8273200520546826,32,2.386321626617375,0.5796975522981465
0.1,0.85,0.05,0.8766917293233082,0.826849572364831,32,2.4048059149722736,0.5766054691306077
0.15,0.05,0.8,0.8857142857142855,0.8404324335549457,34,2.3807763401109057,0.5903726013289344
0.15,0.1,0.75,0.881818181818182,0.8377343016706131,34,2.3826247689463957,0.5891210438563592
0.15,0.15,0.7,0.8794117647058824,0.834162334053975,33,2.397412199630314,0.5857344765776265
0.15,0.2,0.65,0.8794117647058824,0.8359058897758588,33,2.386321626617375,0.5889738018007622
0.15,0.25,0.6,0.8791208791208791,0.8369626525619447,33,2.3715341959334566,0.5919186429127037
0.15,0.3,0.55,0.8833333333333333,0.8394707894199269,33,2.3715341959334566,0.5910351905791212
0.15,0.35,0.5,0.882706766917293,0.837945474840654,33,2.377079482439926,0.5900781172177403
0.15,0.4,0.45,0.882706766917293,0.839054655354965,33,2.367837338262477,0.5929493373018833
0.15,0.45,0.4,0.8766917293233082,0.8361611159001695,33,2.3715341959334566,0.5907407064679271
0.15,0.5,0.35,0.8766917293233082,0.835199322275837,33,2.3715341959334566,0.592213127023898
0.15,0.55,0.3,0.8766917293233082,0.8340018421796396,33,2.367837338262477,0.5910351905791212
0.15,0.6,0.25,0.8766917293233082,0.828486081219385,32,2.386321626617375,0.5835258457436704
0.15,0.65,0.2,0.8766917293233082,0.8289697888724867,32,2.3807763401109057,0.5852191293830368
0.15,0.7,0.15,0.8766917293233082,0.8281898979687569,32,2.3807763401109057,0.5835994667714689
0.15,0.75,0.1,0.8766917293233082,0.8273583831766051,32,2.3900184842883547,0.5794030681869522
0.15,0.8,0.05,0.8766917293233082,0.8264426727628851,32,2.4048059149722736,0.57498580651904
0.2,0.05,0.75,0.8812030075187969,0.8360775719930961,33,2.378927911275416,0.5910351905791212
0.2,0.1,0.7,0.8794117647058824,0.8356469764939468,33,2.386321626617375,0.5897100120787475
0.2,0.15,0.65,0.8791208791208791,0.8364326348868586,33,2.3826247689463957,0.5904462223567329
0.2,0.2,0.6,0.8785714285714284,0.8366255460594249,33,2.3807763401109057,0.5914032957181139
0.2,0.25,0.55,0.8794117647058824,0.8368691738749234,33,2.3826247689463957,0.5902989803011358
0.2,0.3,0.5,0.8781954887218045,0.8380584674061011,33,2.3844731977818854,0.5908143274957256
0.2,0.35,0.45,0.8766917293233082,0.8369633653976865,33,2.377079482439926,0.5891946648841578
0.2,0.4,0.4,0.8766917293233082,0.8360520196300826,33,2.367837338262477,0.592507611135092
0.2,0.45,0.35,0.8764705882352942,0.8342769290270396,33,2.3733826247689462,0.5905198433845316
0.2,0.5,0.3,0.8766917293233082,0.8328230386744319,32,2.3715341959334566,0.5910351905791212
0.2,0.55,0.25,0.8766917293233082,0.8283687549366452,32,2.386321626617375,0.5826423934100879
0.2,0.6,0.2,0.8766917293233082,0.8279680197437826,32,2.388170055452865,0.5827160144378865
0.2,0.65,0.15,0.8766917293233082,0.8282930971431636,32,2.3844731977818854,0.5835994667714689
0.2,0.7,0.1,0.8766917293233082,0.8277092603695876,32,2.3937153419593344,0.5802865205205348
0.2,0.75,0.05,0.8766917293233082,0.8275631209421568,32,2.3992606284658042,0.5755011537136298
0.25,0.05,0.7,0.8794117647058824,0.8363513068090689,33,2.3844731977818854,0.5909615695513227
0.25,0.1,0.65,0.8791208791208791,0.8365995032536384,33,2.378927911275416,0.5917714008571067
0.25,0.15,0.6,0.8766917293233082,0.8357258177470474,33,2.3955637707948245,0.5878694863837841
0.25,0.2,0.55,0.875187969924812,0.8361768726629407,33,2.3900184842883547,0.5888265597451652
0.25,0.25,0.5,0.8766917293233082,0.8375755373919902,33,2.378927911275416,0.5914769167459124
0.25,0.3,0.45,0.8764705882352942,0.8351966491418061,33,2.3752310536044363,0.5895627700231505
0.25,0.35,0.4,0.8666666666666666,0.830967670100797,32,2.3807763401109057,0.5891946648841578
0.25,0.4,0.35,0.8766917293233082,0.8323768410566287,32,2.3733826247689462,0.5912560536625169
0.25,0.45,0.3,0.8766917293233082,0.8301739628497701,32,2.378927911275416,0.5869124130224032
